Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
14.02.2024,수,00:00,05:41,05:41,잠,잠,잠,,,,
14.02.2024,수,05:41,05:43,00:02,화장실,생활,화장실,,,,
14.02.2024,수,05:43,05:45,00:02,"요구르트 준비, 먹기, 처리 등",,,,,,
14.02.2024,수,05:45,05:58,00:13,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.02.2024,수,05:58,06:03,00:05,양치질,생활,양치질,,,,
14.02.2024,수,06:03,06:11,00:08,머리 감기 등,,,,,,
14.02.2024,수,06:11,06:15,00:04,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,06:15,06:25,00:10,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,06:25,06:36,00:11,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
14.02.2024,수,06:36,06:38,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,06:38,06:58,00:20,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
14.02.2024,수,06:58,06:59,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,06:59,07:02,00:03,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
14.02.2024,수,07:02,07:05,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:05,07:13,00:08,"LEET 언어이해 이원준 예습, 복습 등",,,,,,
14.02.2024,수,07:13,07:14,00:01,LEET 추리논증 인터넷 강의 김재형 예복습,,,,,,
14.02.2024,수,07:14,07:17,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:17,07:23,00:06,LEET 추리논증 인터넷 강의 김재형 예복습,,,,,,
14.02.2024,수,07:23,07:26,00:03,언어이해 구문 복습,,,,,,
14.02.2024,수,07:26,07:30,00:04,책 언어이해의 맛 (김동규),,,,,,
14.02.2024,수,07:30,07:39,00:09,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:39,07:40,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:40,07:41,00:01,"차 마시기, 준비",,,,,,
14.02.2024,수,07:41,07:43,00:02,"사물함 관련 행정, 정리 등",,,,,,
14.02.2024,수,07:43,07:46,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:46,07:48,00:02,"사물함 관련 행정, 정리 등",,,,,,
14.02.2024,수,07:48,07:50,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,07:50,07:59,00:09,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.02.2024,수,07:59,08:57,00:58,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,08:57,09:05,00:08,"은행, 간편 결제 업무, 조회, 대기",행정,금융,,,,
14.02.2024,수,09:05,09:12,00:07,"비일상품 구매, 탐색, 행정 처리",,,,,,
14.02.2024,수,09:12,09:15,00:03,"수강 신청, 계획 등",,,,,,
14.02.2024,수,09:15,09:28,00:13,"비일상품 구매, 탐색, 행정 처리",,,,,,
14.02.2024,수,09:28,09:50,00:22,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,09:50,10:10,00:20,잠,잠,잠,,,,
14.02.2024,수,10:10,10:32,00:22,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,10:32,10:36,00:04,화장실,생활,화장실,,,,
14.02.2024,수,10:36,10:39,00:03,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,10:39,11:02,00:23,법학적성시험 LEET 언어이해 공부,,,,,문기옥,
14.02.2024,수,11:02,11:31,00:29,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,11:31,11:37,00:06,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.02.2024,수,11:37,12:10,00:33,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,12:10,12:21,00:11,법학적성시험 LEET 언어이해 공부,,,,,문기옥,
14.02.2024,수,12:21,12:51,00:30,LEET 언어이해 이원준 수강 등,,,,,,
14.02.2024,수,12:51,12:54,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,12:54,12:57,00:03,"사물함 관련 행정, 정리 등",,,,,,
14.02.2024,수,12:57,12:58,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,12:58,13:14,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.02.2024,수,13:14,13:17,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,13:17,13:22,00:05,양치질,생활,양치질,,,,
14.02.2024,수,13:22,13:23,00:01,가글 등,,,,,,
14.02.2024,수,13:23,13:25,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.02.2024,수,13:25,13:30,00:05,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
